Date,United States,Mortagage Value,GDP,Unemployment Rate,SP500
1992-02-29,205.6789644122488,-7.104984093319193,1.6651558719270334,-8.641975308641983,27.60882528324388
1992-03-31,206.30356209764193,-5.196182396606577,1.7991563503168588,-8.641975308641983,27.370304114490164
1992-04-30,206.46566487067764,-6.150583244962885,1.934132086919117,-8.641975308641983,27.19141323792486
1992-05-31,206.45799495480165,-8.059384941675502,2.063615579903934,-6.172839506172845,26.952892069171135
1992-06-30,206.66843060390292,-9.75609756097561,2.182627879449866,-3.703703703703707,26.535480023852116
1992-07-31,207.27465549119134,-13.785790031813349,2.2876888536199083,-4.938271604938276,26.475849731663693
1992-08-31,208.12689796372044,-15.376458112407205,2.374835874308715,-6.172839506172845,26.416219439475253
1992-09-30,208.65743336116532,-16.01272534464475,2.4385766978988888,-6.172839506172845,26.29695885509839
1992-10-31,208.87015673862933,-14.209968186638386,2.4719099970126246,-9.876543209876552,25.819916517590947
1992-11-30,208.85070343210873,-11.876988335100734,2.468563321462556,-8.641975308641983,25.581395348837205
1992-12-31,207.72800897275104,-12.831389183457043,2.427243170882688,-8.641975308641983,25.641025641025646
1993-01-31,206.09520816285993,-14.952279957582187,2.3582872823249406,-9.876543209876552,25.342874180083484
1993-02-28,205.5215525786823,-18.55779427359491,2.276386124231464,-12.34567901234569,25.223613595706624
1993-03-31,206.29078296041712,-20.466595970307527,2.1950803869414024,-13.58024691358024,25.10435301132976
1993-04-30,207.6848192083237,-20.784729586426298,2.122069477395054,-12.34567901234569,24.92546213476446
1993-05-31,209.14179673793342,-20.784729586426298,2.0626813851951673,-12.34567901234569,24.86583184257604
1993-06-30,210.2562468246529,-21.31495227995758,2.022541810346162,-13.58024691358024,24.86583184257604
1993-07-31,210.68806847599654,-23.541887592788967,2.009134576394026,-14.814814814814811,24.86583184257604
1993-08-31,210.93966868876106,-24.602332979851532,2.0296765941108736,-16.04938271604938,24.508050089445437
1993-09-30,210.89642792108373,-26.617179215270415,2.0868472571119367,-17.28395061728395,24.209898628503275
1993-10-31,210.46916435009803,-27.571580063626723,2.1719513684925933,-16.04938271604938,23.91174716756113
1993-11-30,210.15866873250562,-24.07211028632025,2.2727314724037857,-18.51851851851852,23.97137745974955
1993-12-31,209.83774771925368,-23.966065747613996,2.378798502414017,-19.753086419753085,24.209898628503275
1994-01-31,209.5661751436544,-25.13255567338282,2.4857791953811827,-18.51851851851852,24.269528920691712
1994-02-28,209.9127262692528,-24.178154825026503,2.591805161887734,-18.51851851851852,24.269528920691712
1994-03-31,211.24610583692234,-18.55779427359491,2.6937658415297747,-19.753086419753085,24.269528920691712
1994-04-30,213.2755421905715,-11.77094379639448,2.78369491459305,-20.987654320987655,24.508050089445437
1994-05-31,215.33785406226178,-8.801696712619302,2.85257894201936,-24.69135802469136,24.86583184257604
1994-06-30,217.0142055806955,-10.922587486744426,2.8956956208853106,-24.69135802469136,24.86583184257604
1994-07-31,218.023247682101,-8.695652173913047,2.918280547910323,-24.69135802469136,24.8062015503876
1994-08-31,218.22967219006807,-9.75609756097561,2.928341106312391,-25.92592592592593,24.567680381633878
1994-09-30,218.04009198864242,-8.377518557794266,2.929573011422844,-27.160493827160497,24.508050089445437
1994-10-31,217.88731512479794,-5.302226935312832,2.9157140789302094,-28.39506172839506,25.223613595706624
1994-11-30,217.7165922884631,-2.7571580063626704,2.876601091673241,-30.864197530864196,25.87954680977937
1994-12-31,217.45324939843536,-2.439024390243907,2.805253254026025,-32.098765432098766,26.654740608228973
1995-01-31,217.38295599295063,-2.969247083775179,2.7054689400791134,-30.864197530864196,26.17769827072153
1995-02-28,217.7188100992512,-6.362672322375394,2.587052061336553,-33.333333333333336,25.641025641025646
1995-03-31,218.23299543097673,-10.286320254506881,2.461808375106891,-33.333333333333336,25.223613595706624
1995-04-30,218.95776673650093,-11.77094379639448,2.341328055304334,-28.39506172839506,25.402504472271925
1995-05-31,219.95602443969645,-15.588547189819721,2.234983846644235,-30.864197530864196,25.760286225402506
1995-06-30,220.89349226791225,-19.72428419936373,2.1475904449333316,-30.864197530864196,26.118067978533087
1995-07-31,221.82067188030493,-19.3001060445387,2.075873035752964,-29.629629629629626,26.833631484794275
1995-08-31,222.44678031552274,-16.648992576882286,2.0138158158137553,-29.629629629629626,27.13178294573644
1995-09-30,222.22597509605998,-18.981972428419937,1.956768343323748,-30.864197530864196,27.549194991055465
1995-10-31,221.7353428144697,-20.678685047720037,1.904638225399628,-32.098765432098766,27.787716159809182
