Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2006-10-31,133.22935692,156.52801748,201.73301519,132.21857243,209.79799553,124.04353692,162.27255575,176.89005971,219.51969352,128.7635631,221.15537919,166.53946821,146.52410825,114.54458649,122.52965341,123.92311959,122.95288308,143.16419861,161.37328672,208.07416374,150.65754432,109.4994206,144.14503249,132.02946585,133.42565543,163.01047082,119.59508774,205.27692259,157.02089614,185.63757453,158.94426464,168.58399247,129.68338064,141.99036639,114.2504248,127.91675143,175.39801355,158.31112341,191.37410246,134.2197166,131.20526572,131.9635219,126.49053253,148.67684511,166.11709601,188.97506713,173.0420884,133.19971246,135.66057055,167.49878934
2006-11-30,133.21969988,156.00087769,200.57758636,131.97412258,207.78482439,123.39956629,160.89329499,176.72578189,218.22608794,128.640049,220.24439749,166.5493063,145.61650842,113.8546088,122.06736489,123.44251362,122.62850455,143.18751393,160.3381653,207.24697047,149.4293032,108.04873731,142.96044399,132.39048459,132.56855984,162.66941061,118.97693177,203.4390081,155.64701034,184.36805534,159.11804644,167.23301787,129.97113592,141.61735836,113.34355617,127.83131812,174.54397671,157.42199866,189.84262657,134.42723516,130.81177698,131.87505762,126.57535597,149.42608912,165.98765501,188.30051003,172.44506906,133.23046637,134.66063936,168.1308536
2006-12-31,133.15532315,155.75473798,199.72360992,131.94530357,206.29631284,122.67789001,159.73494454,176.26498893,216.54621528,128.6402726,220.43418952,166.35561918,144.95259055,113.02072505,121.6848601,122.63175028,122.16428885,143.14548032,159.81483846,206.94747631,147.78024085,106.68387131,141.73041206,132.61181529,131.78163769,162.74927476,118.66051224,201.85736666,154.44155066,183.26713159,159.68755481,165.07091339,130.10061388,141.28349594,112.42570146,128.08789165,174.22129571,156.57339094,188.38702996,134.44758499,130.56236821,131.67823952,126.66682111,150.22702648,165.82073002,187.15659935,172.23722377,133.09020582,133.68637882,168.70624939
2007-01-31,132.89735116,155.90419918,199.72410192,131.98447673,206.29398967,122.36769907,159.62462981,175.88495332,215.68053852,128.80279834,221.50595166,166.66514557,144.83978292,112.47775781,121.32667625,122.29150526,121.88750129,143.44267157,159.84483335,207.23355117,146.40192599,105.56426,141.35587357,132.93126066,131.51270672,163.5332838,118.55454845,200.81657327,153.42452349,182.744848,160.27800401,163.53882811,130.33726562,141.39099809,111.75637362,128.45451646,174.72417375,156.44193449,186.83344992,134.45024096,130.51746195,131.70277072,127.02454869,151.49033457,165.61131632,186.41378224,173.18619412,132.89719987,133.14952476,169.59411942
2007-02-28,133.19903939,156.64722533,200.18874545,132.19809173,207.75839727,122.40145829,160.58183047,175.85382028,215.79932268,129.03191112,222.71846029,167.85020178,145.30645258,112.3971995,121.30151407,122.84087575,122.3228193,144.27462014,160.5279411,207.87183807,146.28490182,104.80763815,141.85942352,133.4405575,132.06258428,164.70185403,118.78791322,200.63813815,153.03133277,183.14238802,160.65218486,163.88447936,130.9489523,142.11108313,111.69491202,128.7711902,176.09264538,156.92463255,185.65294639,134.76452853,130.87845901,132.26732585,127.72070795,153.29396761,165.7246264,186.79290814,174.97940423,132.89201165,133.57590206,170.86962752
2007-03-31,134.34001626,157.7390269,200.41477377,132.9210423,209.43819886,123.00497969,161.89433216,176.21487261,216.07785894,129.58520707,223.59615187,169.53856773,146.05230604,112.91736935,121.87116817,123.87715026,123.29488132,145.2820268,161.71450523,208.73169837,147.25799467,104.60371087,142.66195796,134.07695796,133.06014422,165.81089877,119.37574936,201.07072026,153.53889045,184.23761216,161.08226889,165.39054624,131.80949528,143.21542479,112.21063728,129.27155623,178.03220787,158.05176703,185.46545536,135.30606003,131.6847634,133.41187163,128.84418733,155.62477286,166.37185041,187.69034665,176.83322227,133.28586612,134.84876624,172.51259194
2007-04-30,135.44467172,158.98599247,200.40072224,133.98139376,209.56110784,124.06994085,162.62746497,176.8025257,215.3091898,130.36957112,224.22666301,171.05973262,146.67332009,114.12765692,122.85897061,125.12161634,124.36630221,146.19119179,162.7571123,209.78189371,148.18817775,104.80502714,143.32645067,134.75994591,134.0642277,167.11113058,120.21719379,201.23699391,154.599454,185.16051537,161.65719456,166.78485415,132.8448403,144.5830701,113.03496132,129.99549437,179.93590251,159.58812388,186.25790986,136.05332377,132.86828015,134.57254182,130.13502378,157.73045562,167.31083353,188.69256632,178.27670252,133.81978608,136.10380023,174.40173824
2007-05-31,136.28618519,160.24853841,200.17986281,134.74978328,208.31066297,124.97707643,162.96710928,177.23349472,213.16728986,131.12851185,224.80581319,172.24305881,147.1879856,115.24811517,124.06520748,126.33268061,125.10629696,146.53450121,163.18473155,210.4956171,148.83325961,105.24499055,143.75617898,135.02636424,134.71718553,168.61499419,121.25167762,200.16688972,155.56020942,185.81280238,162.20576174,167.67228194,133.95968449,145.93401291,113.82624348,130.94065135,181.32547973,160.80370647,187.27473868,137.03220248,134.12945541,135.32629028,131.10643521,159.21619453,168.22248753,189.69699596,179.22299896,134.31807233,137.01590977,176.1325874
2007-06-30,136.81822308,161.21820463,199.2072985,135.07764867,206.47109451,125.74548936,163.5027402,177.37743788,210.54057868,131.44256984,225.27966232,172.9001521,147.67552358,115.90198155,125.03038531,127.23375546,125.51242304,146.61809555,163.21034577,210.20848568,149.44098159,105.26946211,143.95732547,134.81154655,134.98565413,170.02510085,121.84810044,197.81095354,155.91657481,186.18572583,162.7027136,168.5248227,134.84789365,146.92960819,114.31243755,132.00461415,181.95204807,161.67168996,187.97815634,137.56710767,134.84484193,135.85104543,131.82496938,160.22095806,168.89725079,189.72073784,179.93871026,134.99772535,137.53322101,177.54260945
2007-07-31,136.89348851,161.63697432,197.40613392,135.15932833,203.42197906,126.0457018,163.87004141,177.39587127,207.82300913,131.09850927,225.70741862,172.87793907,147.67963607,116.143325,125.31278427,127.63922651,125.68951959,146.74779746,163.06885301,209.08107315,149.48167233,104.3258412,143.6936598,134.60369728,135.06797134,171.17680137,121.7045008,194.90705897,155.56830748,185.72939038,162.97680899,169.21230962,135.16929416,147.38840213,114.43996594,132.86463247,181.49790724,162.12261885,188.09171613,137.47587278,135.0743094,135.9670474,132.13390237,160.60911652,169.32158607,188.50615683,180.2645658,135.95643589,137.6222556,178.74574185
2007-08-31,136.6468392,161.41883696,194.9158678,134.91038239,199.65824132,125.29359646,163.5824027,177.41495924,205.13191424,130.34910745,225.99611465,172.21098556,146.91826332,115.81111698,125.12307381,127.41642001,125.41263184,146.80905257,162.67703767,207.42138828,148.66744733,102.69142019,142.84250755,134.60607125,134.65365531,171.52223599,121.17990216,191.56464232,154.39028259,184.70805047,162.79691067,169.11846379,134.88287901,147.2815001,113.79923741,133.42202395,180.10767162,161.65384949,186.96100939,137.14716984,135.02818253,135.56887398,131.5497067,160.39516126,169.46689336,187.17556076,179.87067758,136.78061958,137.33367915,179.33000699
2007-09-30,136.02240161,160.58439668,191.81003763,134.49540709,195.476446,123.87490045,162.47166771,177.00215585,202.29333734,129.29085507,225.81179959,170.89019926,145.69249093,114.67837493,124.71390351,126.62379005,124.79824741,146.75383079,162.00744177,205.03441304,147.2135193,100.52412814,141.38929283,134.63343111,133.50876706,170.93132236,120.4329953,187.8695244,152.48645161,183.42858316,162.08795093,168.3827407,134.22486238,146.82032106,112.51496545,133.46380479,178.42712855,160.46702003,184.80067697,136.72337095,134.69132057,135.12550896,130.73526005,159.28681355,168.87797173,185.4281407,178.85959837,136.87556184,136.59157244,178.80974446
2007-10-31,135.24296937,159.18554369,188.27894551,134.07447212,190.41750421,122.44291801,160.7849494,175.73545573,198.38061009,128.00910171,225.25787937,169.16432915,144.40410895,113.16474029,124.15226,125.66642986,124.21434322,146.1199089,160.98474155,202.29124014,145.60748305,98.206946439,139.11100644,134.37639184,132.01351171,169.79302719,119.47734175,183.84766569,150.28188427,181.94412587,161.15695547,167.21836515,133.32331086,146.36611355,111.02050049,132.74385127,176.66667497,158.97978533,182.4087246,136.38251255,134.40514585,134.58094669,130.37954756,157.68216039,167.39004303,182.69587877,177.28404522,136.22021535,135.49025176,177.58063223
2007-11-30,134.41239278,157.4069811,184.52130235,133.47117695,184.90706486,121.06272537,158.66805207,173.99411037,193.59560035,126.62780307,224.3328437,167.26454204,142.77376799,111.90940412,123.43581344,124.76359839,123.41665171,145.10577726,159.61150077,199.75715429,143.86352754,96.010418665,136.42816708,133.6443169,130.30533383,168.61698639,118.36110506,179.00407066,148.10568582,180.17580599,160.2162679,165.96837913,132.60443494,146.03733523,109.2722961,131.60938482,174.67940874,157.78651865,179.73185318,135.88406443,134.21638591,133.7169187,129.94125219,156.41224768,165.48807005,179.6815915,175.38717831,135.03867409,134.08638339,176.36452019
2007-12-31,133.4116319,155.68062145,180.8116667,132.59198889,179.66024652,119.40684029,156.46847242,172.21820896,188.67804838,125.15474403,222.79924727,165.54206914,140.72646624,110.93730107,122.43314027,123.63942468,122.43106957,144.15546281,158.42984168,197.41694798,141.44675309,93.775825801,133.95906173,132.8517744,128.28834207,167.88846157,117.18816274,173.44732963,146.11660531,178.14977387,159.17906998,164.6775061,132.01090563,145.66584588,107.18088554,130.44636443,172.73186145,157.04886384,176.77854868,135.20861697,133.91789833,132.74050396,129.41320931,155.22377585,163.92671387,177.20487685,173.6469378,133.75448495,132.3560154,175.48933436
2008-01-31,132.74075622,154.60453228,177.26844991,131.55556827,174.69981338,117.95187572,154.65145664,170.61340956,183.81249715,123.92911636,220.90380401,164.44289161,138.87493068,110.33929,121.30339179,122.75252868,121.81856077,143.37178304,157.72169521,194.97289919,139.36276269,91.553082982,132.05716405,132.30406212,126.57168497,167.63809543,116.25225018,167.90743605,144.52336619,176.41183983,158.14039822,163.16243988,131.40673601,145.32871831,105.61429,129.56179017,171.19368161,156.38790828,173.92436023,134.78361791,133.58080384,131.91161262,129.06926731,153.97395624,163.13071639,175.57321387,172.33290534,132.92406009,130.92187882,175.04644945
2008-02-29,132.68299201,154.41330759,174.01217299,130.71107243,169.95856836,117.66526172,153.58811369,169.7578028,179.29541939,123.27430665,219.42384586,163.94166032,137.7535158,109.99198435,120.79783208,122.82177255,121.82846899,142.8372018,157.32860263,192.80591529,138.64326684,89.897479444,130.96867778,131.93444752,125.92957713,167.47722969,115.96164707,162.79515878,143.60585785,175.32785408,157.49856706,161.74755302,131.32053228,145.35278775,105.33572038,129.41062118,170.37898929,156.05164818,171.58827242,134.67358308,133.45263642,131.33866865,128.92360861,153.24370056,162.99574273,174.21066948,171.43271106,132.86966662,130.58526936,175.2081324
2008-03-31,133.14841762,154.94523997,170.84843342,130.42465269,166.0808285,118.18223045,153.4837614,169.68919252,175.31120465,122.77057717,218.45032464,163.45551758,137.58458851,109.93048577,121.27462081,123.39968985,122.51165012,142.77934487,157.2251938,191.40576983,138.59310936,89.380631436,130.58249301,131.83942674,126.25585475,167.35356536,116.34610513,158.39096508,143.29298183,174.51785588,157.48648944,161.10679374,131.64192534,145.86499456,105.99733962,130.15035548,170.34833782,156.34409061,170.07996806,134.74437513,133.72712166,131.11115043,129.05603343,152.99168016,163.48118348,172.9505317,170.96368241,133.68168922,131.08961233,175.91139166
2008-04-30,133.82272875,156.0663936,168.03255347,130.56774169,163.09548263,118.83116627,153.86197501,169.5980003,171.60241171,122.23891039,217.71421524,162.69979346,137.74297032,110.3307934,122.15895468,123.95764148,123.37951667,143.41246788,157.3506774,190.27170928,138.67672654,89.646327367,130.86536217,132.09486914,127.16122316,167.62033988,117.26286206,154.57116397,143.41220661,173.96979051,157.63710849,161.63159926,132.28892229,146.86822737,106.96916648,131.28349686,170.5277953,156.8853306,169.18231307,134.75610443,134.48939084,131.26854661,129.54381231,152.61582523,164.328654,172.25152705,170.79797933,134.81776488,131.87951248,176.85537333
2008-05-31,134.21108089,157.44577437,165.7960788,130.9870111,160.40596656,119.74240279,154.4905534,169.13298796,168.31057314,122.20656927,216.82570293,162.09517625,137.71517935,111.01470916,123.06754184,124.51880354,123.98770795,144.29769485,157.40564619,189.26545392,139.02997901,89.79745394,131.21350633,132.50531442,128.33368101,168.50435009,118.3998973,150.85458433,143.78042676,174.01159892,157.45699103,162.56027857,133.09889242,148.06822504,107.69808906,132.41816663,170.6193509,157.44467279,168.14898295,134.75524379,135.63033333,131.72536914,130.55415937,152.09808924,165.04777446,171.9884752,170.73305999,135.55839835,132.82558431,177.81719292
2008-06-30,134.22673825,158.5643003,162.93706719,131.49300576,158.22032617,120.66590347,155.15217209,168.50229276,165.29912542,122.18872344,215.75338233,161.8666228,137.52373997,111.74809597,123.79719248,125.00378285,124.33291884,144.8551752,157.41121032,188.43493319,139.70890527,89.729251461,131.39325859,132.54050291,129.11292072,169.47600371,119.23837658,147.14603865,144.17402584,174.3225031,157.16443572,163.45418191,133.498481,149.10659502,108.08601419,133.33527235,170.19327021,158.02735228,166.74322497,134.70602434,136.69509957,132.09340997,131.5030186,151.56861266,165.39381013,171.54506811,170.00890371,135.88332769,133.47013424,178.4436247
2008-07-31,134.17188589,159.08671251,158.86358632,131.85139985,155.63305792,120.79818996,154.98303759,167.74270124,162.23344579,121.38466924,214.7501762,161.34589302,137.14309702,112.15887885,124.20810939,125.28308825,124.46969496,144.76890377,157.57025945,187.06488701,140.06082976,89.546293533,131.70033832,131.90640036,129.0927298,169.58886247,119.45840777,143.55387306,144.10845288,174.36313708,156.88456231,164.00162574,133.3449578,150.0454916,108.10800422,133.67677485,168.85375397,158.02818862,165.09140496,134.39644787,137.30737034,132.02892898,131.57541177,150.6749801,165.30608532,170.59751905,168.56259736,135.87699203,133.53215977,178.47620141
2008-08-31,133.73117574,158.83909879,154.61686716,131.85590565,152.42479726,120.0484269,153.6879181,166.73688236,158.89788464,119.78214499,213.21378859,159.78346724,135.8176169,112.15520407,124.33601498,124.95773683,124.34868044,144.16476214,157.47289897,184.92264647,139.57816208,88.78264157,131.52114598,130.9329007,128.18536085,168.77246046,119.03614358,139.94323087,143.2177587,173.58538876,156.19134708,163.27630657,132.52822717,150.84284848,107.48707937,133.08569494,166.79420888,157.06098022,163.10347657,133.99457296,137.44297146,131.53539127,131.0506149,149.11046717,164.71243861,169.33852181,166.94184228,135.34986522,133.01727464,177.88423003
2008-09-30,132.63811445,157.94265795,150.43873617,131.17083379,149.59333935,118.88578873,151.9953964,165.54439046,154.96130364,117.40137105,210.58698695,157.21969355,133.7211527,111.4283372,124.03667711,123.96017142,123.74756615,143.23684037,156.5896098,182.18938125,138.29265934,87.161134042,129.87959354,130.06204054,126.56709771,167.4022222,118.19684613,135.69407891,141.53837344,171.74194594,154.90121456,161.66562684,131.09678475,151.16468975,106.39719052,131.79254407,164.06413555,155.69869146,160.78180395,133.34113645,137.1573236,130.44858573,130.59866961,147.08755616,163.91725464,167.79149895,164.72740063,134.30936258,131.70890806,176.5696116
2008-10-31,131.08563846,156.70960687,145.48064932,130.02571217,146.8184719,117.4385473,150.06764315,164.1236358,150.45660961,114.71805744,207.05665788,154.26339937,131.85513319,109.78536292,123.22818936,122.90515003,122.72485763,142.13788457,155.06300332,178.92751318,136.7462023,84.686835887,127.09338756,129.29395528,124.74983129,165.95797019,117.24932149,130.79266487,139.33002124,169.6288523,153.3257268,160.20130387,129.32238055,150.83437889,104.97863267,130.58479715,160.65863973,154.46262198,158.40812161,132.08609289,136.45841162,128.76453232,129.79386861,144.7573843,163.16053642,165.45120609,161.59866669,133.06193006,129.72118056,174.66316471
2008-11-30,129.21344117,155.33961691,140.32060803,128.78430888,143.45526827,115.54839849,147.56533044,162.40814086,145.44639683,112.20411403,203.22530461,151.50187353,129.35895867,107.43894692,122.03811292,122.05869058,121.45354354,140.90767364,153.12651701,175.35316029,135.0462291,81.687685577,123.88092804,128.48480046,122.83884613,164.71882207,116.23925138,125.81759469,137.30551316,167.13600881,151.74809196,158.74532568,127.64580964,150.02694513,102.96682785,129.46505474,157.11108772,152.81791119,156.05696553,130.32162728,135.37411397,126.96117454,128.33628038,142.20054016,162.21714302,161.95419463,157.86506257,132.11243297,127.40364578,172.69787553
2008-12-31,127.64690043,154.13921521,135.9975729,127.63285476,139.6559733,113.80338033,144.69688239,160.69324289,140.72229293,110.11424747,199.79429426,149.27294775,126.11208453,105.12648915,120.68730133,121.40411238,120.08941592,139.60377706,151.12871005,171.91829893,133.10550644,78.833149025,120.77186606,127.62809809,120.93039218,163.46825199,115.05518439,121.096884,135.70775771,164.25352891,150.20504439,156.82868553,126.4384891,149.1048126,100.4857128,128.40642835,154.30062604,150.75584301,153.75789278,128.64456025,134.29322611,125.35210444,126.93572213,139.59297775,161.07938495,158.19629047,154.15247302,131.6294741,125.29095906,170.99504914
2009-01-31,126.88717958,153.53122846,132.59931818,126.76991817,136.58959352,113.23784022,142.22728533,159.30716059,137.30029934,108.66051409,197.51865092,147.63758656,123.64700178,103.96854305,119.54245595,121.01716315,119.04410888,138.76373154,149.62838871,169.34322673,131.4575654,77.040035579,118.47683269,126.70777883,119.56765807,162.1496485,114.00893507,116.86463785,134.23061356,162.0155823,148.84002244,154.52985667,125.87708031,148.38482923,98.563764567,128.00380066,152.63080215,149.08086499,151.85430037,127.65369149,133.591711,124.29122448,126.02289255,137.25175735,160.04500241,155.81938801,151.64936359,131.37507815,123.91419845,169.65351795
