Date,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,United States
1985-03-31,66.97657411714158,141.19870268544264,111.42562607867413,78.3168919674668,191.07383523467948,129.8163156461027,123.7163157252245,87.11705247269005,98.48232252083213,72.6229844055738,95.67813715083481,75.01595056510436,78.31415096009611,63.35783960793938,58.50064569912695,80.49951868136269,69.38923486893019,115.15651044988138,77.82125387997868,95.25024401173123,176.75131634350515,59.97147238283077,93.4525708847928,53.88267851740507,86.79184599517664,90.41674199226108,78.94842787115212,123.8613907400618,131.2488565319839,111.16957357191808,127.960528265266,114.56773416479533,89.2703491723439,74.52057862355103,65.36599404946605,112.17887873185066,105.51676135920167,80.87924955619378,122.0151277360327,80.37092052182034,51.64824467038031,74.49908537348603,132.0165027007638,103.62020023242913,87.16075730687511,93.27093400899112,133.17137501731906,54.841804345330104,67.14520541479502,96.96065900511466,116.06284466264212
1985-04-30,68.0197568010596,141.72800297411436,111.64283868313778,77.50016744263519,191.93209571118894,129.41543365493314,127.46483412442227,88.95195052008545,98.24335359906662,71.40504297567963,95.04962192471446,75.78470994681064,78.42268630646394,64.1947969242164,58.68400981183015,79.55330763507398,69.81400363535315,116.75413384809153,80.0612181594668,96.35049588018411,184.1762770988857,60.707336609622764,92.28968423268911,55.86314014221434,88.1010552907518,90.8832668916079,79.323385957404,124.24195179071818,136.1600791538683,114.42117711404482,128.5197436961689,117.11768111594598,90.51538730795303,74.90895887859885,66.44788939139804,111.38177528811752,103.37276754906681,82.13218248743223,124.58108153815543,80.94142578264376,51.13579970536964,74.60749899295021,132.35899178927352,103.07098793398485,89.52729976842973,94.75610292071426,133.1161519017771,56.6000786012853,68.36327282031948,97.38224356585305,116.97950499600873
1985-05-31,68.91189517924681,142.64119955729666,112.40331265296923,77.19793840321421,192.9599865058267,129.75848396833743,131.18140870136898,90.64466121391527,98.11577476336393,74.00203529842577,94.42458379345783,76.89570239456387,78.83889147487241,64.85586404217956,59.37294989833879,77.9284475081288,70.03950313972415,117.55402900970138,82.40384909250321,97.81120169467982,192.13832812314496,61.88893717038797,88.84234606556876,57.58553819402559,89.48728190052046,91.26178373151109,79.80816632015633,123.61996045098982,141.16204465210876,118.25969357309086,129.94882901561292,119.86888105741869,91.69052094997055,75.23107812582201,67.30538851119799,110.4896246111647,101.92597339449539,84.46963859737654,127.68318243331886,81.73641587761587,50.650656898467936,75.2579289756157,132.82469602188007,102.39154962087294,91.90110705816146,95.87626131956478,133.0710996177702,57.50909846212766,69.3491541350361,97.30381677413591,118.12406623737097
1985-06-30,70.18182652346721,142.8342394866852,113.48747059284261,78.08939216864276,195.36547982955776,130.33368089123297,134.59681417507088,91.96536612127387,97.80269200877844,77.68709997047418,94.07022375759996,78.06200836498378,80.03224589660216,64.73469374195868,60.49921718744604,76.43786866544995,70.04983225694824,117.0874102411626,84.7053601714275,99.24908018915241,200.21255441240808,63.1407336988161,83.9459140808913,58.81453535184893,91.04361733333154,91.67257249165407,80.28370390626361,122.71327904388284,145.89605496211792,122.11865874259979,131.4965763017042,123.88982148984987,92.72435532337994,75.444180536585,67.3099791955194,109.92239306429387,100.95716549708477,87.31640811116425,130.98457152438107,82.69062001075918,50.35362319910659,76.57697255264945,133.04963734412758,102.03434027492766,93.9396485666323,96.69782798944709,133.1457293438514,57.405755105862724,69.97216328895868,96.76769626497624,119.55573405955666
1985-07-31,71.39427035739169,141.45354903761586,114.68986759116851,79.8924935887977,198.050515816407,130.35307276411993,137.89128597735336,92.6650036742689,97.46950455407783,80.4631926389649,94.20782517595981,78.84599620839043,81.23606528122244,64.17881568297655,61.514100977453765,76.87455184435666,69.7887198601098,115.87747873251462,86.90327874635784,100.3460756220625,207.88549041705772,64.23709110039394,83.14112172521487,59.487200811007654,92.59506598025793,92.20867763660318,80.58465158037879,122.35003030862977,150.79031786429456,125.63243406504027,132.07980954425778,128.7479563855082,94.01525308310201,75.44873967205274,67.44598375056178,109.86268608558206,100.80165453869365,89.10144799728958,134.20324777002088,83.38754001474308,50.34898595385702,78.00429674738184,133.13130624693747,102.28566042495378,95.69731845370877,97.84051325933308,133.99937746004517,56.215907062393846,70.28462154102131,95.92708080095915,121.11302642520943
1985-08-31,71.99590875958538,138.89471420770846,115.91599130289913,81.61290300430612,200.09558171690105,129.04587363466302,141.44788396919085,93.20332993062993,98.64698941956138,82.3059253368934,95.1301629896715,79.02239533357756,82.56710758189352,63.89600719860334,61.85646397702867,79.04722299633067,69.9214844397843,114.49061353018078,89.2544369741335,100.91764116915962,214.18565242190408,64.8678775321879,88.17234179945204,59.5724093932161,93.81033960794352,92.92053094937226,80.6973632429313,122.77060952262349,156.30026142400854,128.86767110274872,131.80122845139292,132.3791994101106,95.3771246292847,75.17843318686627,68.43784310254053,109.58463601463802,101.41167868170125,89.37385237099382,137.60051596653227,83.97424045189797,50.61812831592337,79.28429630426656,133.87356254726384,102.90006361053854,97.22026113884861,99.02241830283566,135.3179807476075,54.12168815663206,70.0969260438884,94.95733904589265,122.64968642770538
1985-09-30,72.04901429067878,136.29224575225845,116.96039933664726,82.77254227148457,201.54594265375212,126.76246348297566,145.45416207287886,94.07101718118732,100.09105115614277,83.32182657394647,96.66546310249412,78.85214091512535,83.76406382411085,64.27054189022073,61.569005889912766,80.45294442474771,70.65620089839378,113.04621381241937,92.07081221671764,100.86452579336394,220.31119820539965,65.46714052074779,93.44836213989444,59.13366084850157,94.2878100390207,93.96660589004442,80.829402969452,123.81975710305974,162.22911222135937,131.89352046165993,131.7194667212259,133.67558124099475,96.33972801530025,74.63361906346117,69.56435774873998,108.59717118292791,102.14417251533531,89.69534253001099,141.5397926728778,84.44042564253613,51.06622288682067,80.20699031397737,134.4477302994608,103.33921377145963,98.37541299587626,99.6808903724765,135.50086369337782,51.607791922110216,69.66741034894281,94.22522663561935,123.80294023727818
1985-10-31,72.46442533986637,134.45098896926874,117.52468223802039,83.42198967674771,201.9744731076062,126.24156790759646,149.48013470875495,95.37132485811158,100.36314277588565,83.87846046120741,98.22355604289832,78.71974395198428,84.28995431509881,65.0336518576512,61.1163471138911,80.53048939695742,71.37648451893126,111.55764136260369,95.19635126014514,101.04451426923835,227.569861588401,66.47234431314232,95.93531961260469,58.50079941402666,94.47539059217003,95.4617570325496,81.02620002313293,125.0486505930772,167.58253111496583,135.31189437277382,132.41063337132522,135.15225727037927,96.85696610815965,73.92666129391556,69.93779546162541,106.8490353228694,102.74738610784226,90.78392803117407,145.9792835641391,84.63794469576501,51.56988181547232,80.63829083661163,134.10324895372148,103.38602030953396,99.1929668213784,99.68896434565755,134.64777027585987,49.395712825826635,69.49600679671975,94.04773523293088,124.56236555967384
1985-11-30,73.34877333180845,133.53628751487753,117.66778963723053,83.63783543585866,202.0655215356531,128.05522644067702,152.7401588860064,97.23695150812428,99.5190663182396,84.07693402033132,99.5281893388875,78.67415521353945,84.6046073400948,65.85732746357097,60.93794728006764,80.44400397227616,72.07712242541541,109.89926227603293,98.01034245195883,102.2934740998282,234.60237767654593,67.11267923708742,96.73928632552446,57.951726280394965,94.65206523448252,97.24260664752298,81.29263606729586,126.14290902523129,172.08672518142126,138.74451442872504,133.85441130318802,138.11782305161802,97.18347812402493,73.3124574217119,69.55183883567244,104.7947209714621,102.84233024160602,91.80319542980607,150.15131422567762,85.08083461692728,51.97889737961603,80.97579722021054,133.04559970962654,103.27348867717096,99.92136243878936,99.69526737567982,134.07256710225556,48.216791368400614,69.65331124131752,94.26516648592873,125.2077687006358
1985-12-31,73.96516818114281,133.16264643871793,117.89115978797268,83.60541852431136,202.51997312135788,130.21287493769555,155.3611009897353,99.4334832470383,98.77061620894881,84.64716974809701,100.66769964724176,78.4779980990752,84.91575077626547,66.65538439127546,61.1710482288751,80.45324376701683,72.58194023688053,108.90675718387372,100.12082471561719,103.83004819518777,240.29622998920482,67.38037899662011,97.11494927173679,57.76070129112828,94.70857231074986,99.02243663221024,81.60499807925493,127.14272250908611,176.49899432568483,141.5462294453203,135.42263375713807,141.98831511457996,97.54654669787188,73.04680753653875,69.63266658386179,103.6130362566554,101.68061587668882,92.53478302321292,153.59755905807177,85.68975900801699,52.17361194882365,81.64405457126996,131.92890877765961,103.12275617354953,100.77711201405204,99.99988397233187,134.38589690114836,48.34635644041788,70.19743885974763,94.37005837038932,125.94683926115331
