Date,SP500
1990-01-31,25.939177101967807
1990-02-28,26.29695885509839
1990-03-31,26.595110316040554
1990-04-30,27.668455575432322
1990-05-31,28.682170542635653
1990-06-30,29.278473464519976
1990-07-31,29.39773404889684
1990-08-31,28.861061419200958
1990-09-30,28.384019081693513
1990-10-31,28.50327966607037
1990-11-30,29.159212880143116
1990-12-31,30.053667262969586
1991-01-31,29.338103756708417
1991-02-28,29.21884317233156
1991-03-31,29.159212880143116
1991-04-30,29.099582587954675
1991-05-31,28.861061419200958
1991-06-30,28.562909958258793
1991-07-31,28.861061419200958
1991-08-31,28.920691711389395
1991-09-30,28.801431127012535
1991-10-31,28.384019081693513
1991-11-30,27.728085867620766
1991-12-31,27.370304114490164
1992-01-31,27.60882528324388
1992-02-29,27.60882528324388
1992-03-31,27.370304114490164
